date,season,opponent,points_scored,points_allowed
2002-11-23,2002,Oregon State,24,45
2002-12-30,2002,Wake Forest,17,38
2003-08-30,2003,Mississippi State,42,34
2003-09-06,2003,Nevada,31,23
2003-09-13,2003,Arizona,48,10
2003-09-20,2003,Michigan,31,27
2003-09-27,2003,Washington State,16,55
2003-10-03,2003,Utah,13,17
2003-10-11,2003,Arizona State,14,59
2003-10-25,2003,Stanford,35,0
2003-11-01,2003,Washington,10,42
2003-11-08,2003,California,21,17
2003-11-15,2003,UCLA,31,13
2003-11-22,2003,Oregon State,34,20
2003-12-31,2003,Minnesota,30,31
2004-09-11,2004,Indiana,24,30
2004-09-18,2004,Oklahoma,7,31
2004-09-25,2004,Idaho,48,10
2004-10-02,2004,Arizona State,13,28
2004-10-09,2004,Washington State,41,38
2004-10-16,2004,Arizona,28,14
2004-10-23,2004,Stanford,16,13
2004-10-30,2004,Washington,31,6
2004-11-06,2004,California,27,28
2004-11-13,2004,UCLA,26,34
2004-11-20,2004,Oregon State,21,50
2005-09-01,2005,Houston,38,24
2005-09-10,2005,Montana,47,14
2005-09-17,2005,Fresno State,37,34
2005-09-24,2005,Southern California,13,45
2005-10-01,2005,Stanford,44,20
2005-10-08,2005,Arizona State,31,17
2005-10-15,2005,Washington,45,21
2005-10-22,2005,Arizona,28,21
2005-11-05,2005,California,27,20
2005-11-12,2005,Washington State,34,31
2005-11-19,2005,Oregon State,56,14
2005-12-29,2005,Oklahoma,14,17
2006-09-02,2006,Stanford,48,10
2006-09-09,2006,Fresno State,31,24
2006-09-16,2006,Oklahoma,34,33
2006-09-30,2006,Arizona State,48,13
2006-10-07,2006,California,24,45
2006-10-14,2006,UCLA,30,20
2006-10-21,2006,Washington State,23,34
2006-10-28,2006,Portland State,55,12
2006-11-04,2006,Washington,34,14
2006-11-11,2006,Southern California,10,35
2006-11-18,2006,Arizona,10,37
2006-11-24,2006,Oregon State,28,30
2006-12-21,2006,Brigham Young,8,38
2007-09-01,2007,Houston,48,27
2007-09-08,2007,Michigan,39,7
2007-09-15,2007,Fresno State,52,21
2007-09-22,2007,Stanford,55,31
2007-09-29,2007,California,24,31
2007-10-13,2007,Washington State,53,7
2007-10-20,2007,Washington,55,34
2007-10-27,2007,Southern California,24,17
2007-11-03,2007,Arizona State,35,23
2007-11-15,2007,Arizona,24,34
2007-11-24,2007,UCLA,0,16
2007-12-01,2007,Oregon State,31,38
2007-12-31,2007,South Florida,56,21
2008-08-30,2008,Washington,44,10
2008-09-06,2008,Utah State,66,24
2008-09-13,2008,Purdue,32,26
2008-09-20,2008,Boise State,32,37
2008-09-27,2008,Washington State,63,14
2008-10-04,2008,Southern California,10,44
2008-10-11,2008,UCLA,31,24
2008-10-25,2008,Arizona State,54,20
2008-11-01,2008,California,16,26
2008-11-08,2008,Stanford,35,28
2008-11-15,2008,Arizona,55,45
2008-11-29,2008,Oregon State,65,38
2008-12-30,2008,Oklahoma State,42,31
2009-09-03,2009,Boise State,8,19
2009-09-12,2009,Purdue,38,36
2009-09-19,2009,Utah,31,24
2009-09-26,2009,California,42,3
2009-10-03,2009,Washington State,52,6
2009-10-10,2009,UCLA,24,10
2009-10-24,2009,Washington,43,19
2009-10-31,2009,Southern California,47,20
2009-11-07,2009,Stanford,42,51
2009-11-14,2009,Arizona State,44,21
2009-11-21,2009,Arizona,44,41
2009-12-03,2009,Oregon State,37,33
2010-01-01,2009,Ohio State,17,26
2010-09-04,2010,New Mexico,72,0
2010-09-11,2010,Tennessee,48,13
2010-09-18,2010,Portland State,69,0
2010-09-25,2010,Arizona State,42,31
2010-10-02,2010,Stanford,52,31
2010-10-09,2010,Washington State,43,23
2010-10-21,2010,UCLA,60,13
2010-10-30,2010,Southern California,53,32
2010-11-06,2010,Washington,53,16
2010-11-13,2010,California,15,13
2010-11-26,2010,Arizona,48,29
2010-12-04,2010,Oregon State,37,20
2011-01-10,2010,Auburn,19,22
2011-09-03,2011,Louisiana State,27,40
2011-09-10,2011,Nevada,69,20
2011-09-17,2011,Missouri State,56,7
2011-09-24,2011,Arizona,56,31
2011-10-06,2011,California,43,15
2011-10-15,2011,Arizona State,41,27
2011-10-22,2011,Colorado,45,2
2011-10-29,2011,Washington State,43,28
2011-11-05,2011,Washington,34,17
2011-11-12,2011,Stanford,53,30
2011-11-19,2011,Southern California,35,38
2011-11-26,2011,Oregon State,49,21
2011-12-02,2011,UCLA,49,31
2012-01-02,2011,Wisconsin,45,38
2012-09-01,2012,Arkansas State,57,34
2012-09-08,2012,Fresno State,42,25
2012-09-15,2012,Tennessee Tech,63,14
2012-09-22,2012,Arizona,49,0
2012-09-29,2012,Washington State,51,26
2012-10-06,2012,Washington,52,21
2012-10-18,2012,Arizona State,43,21
2012-10-27,2012,Colorado,70,14
2012-11-03,2012,Southern California,62,51
2012-11-10,2012,California,59,17
2012-11-17,2012,Stanford,14,17
2012-11-24,2012,Oregon State,48,24
2013-01-03,2012,Kansas State,35,17
2013-08-31,2013,Nicholls State,66,3
2013-09-07,2013,Virginia,59,10
2013-09-14,2013,Tennessee,59,14
2013-09-28,2013,California,55,16
2013-10-05,2013,Colorado,57,16
2013-10-12,2013,Washington,45,24
2013-10-19,2013,Washington State,62,38
2013-10-26,2013,UCLA,42,14
2013-11-07,2013,Stanford,20,26
2013-11-16,2013,Utah,44,21
2013-11-23,2013,Arizona,16,42
2013-11-29,2013,Oregon State,36,35
2013-12-30,2013,Texas,30,7
2014-08-30,2014,South Dakota,62,13
2014-09-06,2014,Michigan State,46,27
2014-09-13,2014,Wyoming,48,14
2014-09-20,2014,Washington State,38,31
2014-10-02,2014,Arizona,24,31
2014-10-11,2014,UCLA,42,30
2014-10-18,2014,Washington,45,20
2014-10-24,2014,California,59,41
2014-11-01,2014,Stanford,45,16
2014-11-08,2014,Utah,51,27
2014-11-22,2014,Colorado,44,10
2014-11-29,2014,Oregon State,47,19
2014-12-05,2014,Arizona,51,13
2015-01-01,2014,Florida State,59,20
2015-01-12,2014,Ohio State,20,42
2015-09-05,2015,Eastern Washington,61,42
2015-09-12,2015,Michigan State,28,31
2015-09-19,2015,Georgia State,61,28
2015-09-26,2015,Utah,20,62
2015-10-03,2015,Colorado,41,24
2015-10-10,2015,Washington State,38,45
2015-10-17,2015,Washington,26,20
2015-10-29,2015,Arizona State,61,55
2015-11-07,2015,California,44,28
2015-11-14,2015,Stanford,38,36
2015-11-21,2015,Southern California,48,28
2015-11-27,2015,Oregon State,52,42
2016-01-02,2015,Texas Christian,41,47
2016-09-03,2016,California-Davis,53,28
2016-09-10,2016,Virginia,44,26
2016-09-17,2016,Nebraska,32,35
2016-09-24,2016,Colorado,38,41
2016-10-01,2016,Washington State,33,51
2016-10-08,2016,Washington,21,70
2016-10-21,2016,California,49,52
2016-10-29,2016,Arizona State,54,35
2016-11-05,2016,Southern California,20,45
2016-11-12,2016,Stanford,27,52
2016-11-19,2016,Utah,30,28
2016-11-26,2016,Oregon State,24,34
2017-09-02,2017,Southern Utah,77,21
2017-09-09,2017,Nebraska,42,35
2017-09-16,2017,Wyoming,49,13
2017-09-23,2017,Arizona State,35,37
2017-09-30,2017,California,45,24
2017-10-07,2017,Washington State,10,33
2017-10-14,2017,Stanford,7,49
2017-10-21,2017,UCLA,14,31
2017-10-28,2017,Utah,41,20
2017-11-04,2017,Washington,3,38
2017-11-18,2017,Arizona,48,28
2017-11-25,2017,Oregon State,69,10
2017-12-16,2017,Boise State,28,38
2018-09-01,2018,Bowling Green,58,24
2018-09-08,2018,Portland State,62,14
2018-09-15,2018,San Jose St,35,22
2018-09-22,2018,Stanford,31,38
2018-09-29,2018,California,42,24
2018-10-13,2018,Washington,30,27
2018-10-20,2018,Washington State,20,34
2018-10-27,2018,Arizona,15,44
2018-11-03,2018,UCLA,42,21
2018-11-10,2018,Utah,25,32
2018-11-17,2018,Arizona State,31,29
2018-11-23,2018,Oregon State,55,15
2018-12-31,2018,Michigan State,7,6
